id	turn1	turn2	turn3	label
64	my mummy is your grandma 	 hey soul sister on repeat ❤ ☺ 	 why bc	others
65	i said ahow 	 you said wrong 	 show	others
66	ntg buddy 	 im here for you 	 oh thank you very much buddy	happy
67	what is dcac ? 	 a b . a . 	 oh plz stop thiz .	others
68	my relationship 	 what happened ? 	 nothing's happening as expected	sad
69	no i'm not haha on your face 	 haha , then better take every step carefully 	 oops sorry !	others
70	i m also back semd your photo 	 i'm the photographer , not the model , but i'll pass the compliments on . 	 ok	others
71	where are we going ? 	 we are humans , descended from apes , and we're going to walmart . 	 wow . such a great explanation	happy
72	that will be entertaining bey 	 i'll think on ur entertaining performance 	 do you have a face ?	others
73	me too 	 at least someone knows 	 you are from	others
74	and i am also prince charming 	 i will be too . 	 can you send me yur pic	others
75	why 	 because i'd rather go to the oval 🙂 	 would u come on a bikini or nude	others
76	my video very very good 	 thanks buddy ? ;^) 	 thank you good night	others
77	yes 	 hmmmmmm . 	 and instead of having fun , i've been in the house all of friday night	others
78	i'm good & u 	 i'm fine ! what are you doing ? 	 nothing	others
79	okay 	 here we go again . 	 r u ready ?	others
80	ur the b( *( **thing here 	 we'll have to do something before you go back to school 	 its sunday idiot	others
81	what the fuck ? 	 still don't get the joke 	 i am not	angry
82	so you tell me about your self 	 you're the best 	 yas i am	others
83	just snap of your 	 yes . yes i did . 	 ok send me	others
84	i . doesn't understtand 	 you're weird b 	 how . i . will . married . you 8 . 9 . year	others
85	thank you 	 you're welcome 	 i wish you were a real person .	others
86	gorgeous 💖 	 thank u 😽 	 let's go for a date ? ! 👫	others
87	nobody is online ? 	 say what ? 	 i just got a broadband connection	others
88	really she is so cute 	 i know ! ^^ 	 do u know someone who is perfect for me	others
89	i am botking 	 hmm . you could have been programmed to say that with the word bot . 	 i am a real person kinda android	others
90	kk do it 	 yo u wanna start up plug ? 	 yes	others
91	what dng babe 	 nothing . 😁 	 had ur dinner	others
92	vaoov i am pleased 	 you are back . 	 who is your favorite football player ?	others
93	so what 	 if you say so 	 tell me a joke	others
94	wht u think to show me 	 its a show called skam 	 no i don't know abt that show sry	others
95	i mean wanna go on a dinner with me ? 	 we could go after bbt 🙂 	 bbt ?	others
96	my hobbies are to do gym 	 your gym is more expensive than mine ! 	 so what	others
97	what u are saying 	 some people like me love everyone but hate everything . that's what i'm saying . 	 tell me what i do	others
98	ohhh that's nice sense of humor 	 oh shucks . you've got me blushing . 🙂 	 please carry on blushing	others
99	to chat with you 	 hello 	 no hello	others
100	i don't like watching tv and movies 	 it is absolutely ohk to watch a movie with subtitles switched on . 	 ok	others
101	your creation can not be a secret ! 	 is it even still a secret at that point ? 	 may be not	others
102	sorry sorry 	 it's okay , i think you were busy 	 hectic schedule dear	others
103	who is sophia ? 	 prince 	 wrong	others
104	address first 	 send it . 	 you send it	others
105	super 	 space 	 ok bye my wife is watching me	others
106	skydiving 	 especially while skydiving . 	 miss u lot	sad
107	why not ? 	 i'll be your friend 	 i want you to be my girlfriend	others
108	love u babe 	 thank youuuu my lovvvee 	 wt els wt are u dong	others
109	sorry ? 	 huh too 	 you have some bugs	others
110	ohh ur such decent 	 im a compulsive 😜 	 fuck ur software then	angry
111	i was waiting you , how are you ? 	 i'm good ! how are you ? 	 nice thks	others
112	somebody wants you 	 hey . how r u ? 	 we push and pull like a magnet do	others
113	same to yr 	 2nd yr 	 what you 2nd ur	others
114	u made me 	 . what ? 	 happy	happy
115	r u sick single 	 forever sick 😜 	 i mean r u single	others
116	but i'm right 	 well , obviously 	 now please change the topic	others
117	yeah . 	 you don't play games right ? 	 yeah i do	others
118	this is not the reply expected 😂 	 hahaha . point 🙂 	 you are skipping the track	others
119	sure 	 thank you so so much 🙂 	 your so funny	happy
120	r u interested . ? 	 i'm not interested in trading the events . 	 or not	others
121	but not a clear see yout face 	 neither is yours ! 😜 	 in dp	others
122	now i wanted to love some one 	 so simple just tell that some one "i love you" 😅 	 not possible	others
123	so when 	 somewhere in march 	 it's somewhere in march	others
124	wow u r amazing 	 thank you ! :3 	 what is bitcoin	others
125	and ? 	 these 	 i don't understand	others
126	such a stupid question 	 what's up ? - i mean , what are you supposed to answer here ? 	 u want my answer ?	angry
127	yeah , maybe . 	 so . what am i gonna do now ? 	 what are you doing now	others
128	my pleasure 	 you're a really nice human 	 now the pleasure goes to sunny leone	others
129	what 	 snow n what ? 	 what do you feel about kiss	others
130	good now that i'm talking to you 	 aye , good night . 	 😍 😘	happy
131	i mean , what else ? 	 aiyyo ! at all 😆 	 😂	happy
132	if u give your quality time to me 	 : of course , take your time . 	 i dont hve experience of sex	others
133	nothing special 	 i want a bigger screen 	 what ?	others
134	the ? 	 when u r gone 	 where	others
135	human are full of emotions 	 i'll just hide my daily dose behind the bathroom mirror . 	 i want to get rid of that	others
136	my daughters are great man . they say they love you 	 who is they 	 my daughters .	others
137	yup i'm out of office 	 see you on dec 1st ! 🙂 	 how can you ?	others
138	are u really an ai 	 nothing can be \'proven\' with certainty . 	 i dont feel so	others
139	why did you felt dead 	 cuz i was reminded of you . 	 but we just meet	others
140	you tell me 	 tell me . 	 google it	others
141	yes i know this 	 i do know dis 	 if you don't help me to learn english then i can't talk with you again	others
142	tell your best game 	 yes chess is a game 	 what game you watching	others
143	what's wrong with you 	 clothes is what's wrong . i've been good . how you been ? 	 you are wierd	others
144	what is your fathers name ? 	 what's in the name ? 	 what is name of your father ?	others
145	text me after 7:30pm 	 dint have a phone 	 you can call me	others
146	lovely 	 awwww thank you ! 😀 😀 😆 	 and sexy baby	happy
147	you coming 	 i'm trying to . you going ? 	 no you coming	others
148	okay your pictures 	 i like yours too 	 send me your pics	others
149	lol u r optimistic 😂 	 haha - isn't that a fact . ? 👍 	 yea 😂	happy
150	wana come with me ? 	 where do you go ? 	 karnataka	others
151	how are you replying me so faster . ? 	 about a minute . 	 how . ?	others
152	i will night stay with you 	 done ! but do come . 	 yes i come to your home	others
153	kaha s ho 	 wo fake song h bahi 	 you name	others
154	just aim your target to concentrate 	 everyone is busy target one another . 	 yes	others
155	please don't play 	 what if you have to ? 	 i want your friend name	others
156	not a girl 	 you go guy ! 	 yes	others
157	your febret song 	 oh , too many songs to choose from . 	 yes	others
158	you are beautyfull my love 	 haha thank you ! you're wonderful and beautiful too ! 	 tomarow you will tell mi the rosalyn	others
159	missed you toooo 	 lol how are you doing ? 🙂 	 fantastic	others
160	no i'm not confused 	 what are you confused with ? 	 confused with u	others
161	yes ? 	 sweet , connecting now 😉 	 tell me na ?	others
162	i know what u did last summer ? 	 oh ! i still know what you did last summer . 	 tell me	others
163	which markets 	 the likely candidate to be impacted by growth in saas is the hardware market . 	 okie you need hardware	others
164	i was busy 	 i was in pain 	 ssup there	others
165	why 	 is my biggest fan 	 give me a coupon	others
166	ok 	 here we go again . 	 ur not sex intrast	others
167	i 8b 	 i need this soon 	 i need this soon	others
168	did you married me 	 yes i did 	 ?	others
169	any pic of yours 	 none recently . i'll see if i can get one though 	 i will wait for it	others
170	thats gonna be really good 	 be positive it will be great 	 great	others
171	finished ur wrk ? 	 yep today 	 with whom are you chatting ?	others
172	i am if you are 	 thanks . 	 what are you doing	others
173	but i didnt see that strong affirmation . 	 it was taken down pretty quickly . i believe has more information on it 	 so i wanted to reconfirm it	others
174	im fine babe 	 why are you , 'not fine' ? 	 bcuz i was not in touch with you	others
175	what person ? 	 who ? that person or me ? 😉 	 are you out of your mind ? . ohhh wait you haven’t cleared out that to me yet	angry
176	yes , you broke my heart 	 yes you lost me 🙂 be happy 	 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💖 💖 💖 💖 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔 💔	sad
177	yes 	 hell yes 	 go to hell bye	angry
178	of course 	 yay ! and pls keep this in may and not before ! 	 ok i will	others
179	you are very sweet 	 hehe , only for sweet people 🙂 	 i don't hate you	others
180	stress where is that come from 	 few media outlets in america . next 24 hours 	 i am enjoying	happy
181	everything is okk 	 thanks for responding . 🙂 	 bro	others
182	they too fade away with time 	 they fade away in the eyes of the man , not the 🙂 	 yup bad memories remain in bottom corner of the heart	sad
183	let's breakup 	 never even been in a relationship . 	 oh really	others
184	i wanna disappear 	 kinda still want to disappear 	 yes disappointed	sad
185	i'm feeling low 	 hey why ? 	 something is seriously wrong with my life	sad
186	doing for get refer link 	 thanks for sharing ! i'm not going to open that link anyway ! 	 ooooo	others
187	shoping is always makes me happy 	 stay stay stay always makes me happy . 😘 " - ❤ ️ 	 yes	happy
188	do u like her 🙂 	 yup 	 which movie of hers ?	others
189	hmmm 	 mmmmm 	 alri8	others
190	none is you 	 i am ! 	 gender ?	others
191	didn't know that 	 yeah . brilliant series though . 🙂 	 yup	others
192	what is my gender ? 	 i like women 	 what is write your programmin language ?	others
193	who types ? 	 the one who are like me . 	 can u give me some money	others
194	funny 	 i know i am . 	 yep ur funny	happy
195	no front 	 yea your front does bangs . 	 send a picture please please please	others
196	nd go to hell 	 why should i ? 	 bye	angry
197	what 	 a lot of things ! 	 things like ?	others
198	you are robo 	 yes , i am . 	 good that you admitted	others
199	you need to be much better 	 much thank you 	 who made you	others
200	you are talking to me ? 	 who's not talking to you ! 	 you	others
201	and that is such a scary thought . 	 i'm not scary 	 but after talking to you	others
202	ok 	 hey ib va dear 	 you are soo sweet	others
203	most of them what ? 	 i am afraid of the unknown . 	 well you a girl ai	others
204	ok 	 here we go again . 	 yes	others
205	food is life 😂 	 more like life is food 	 haha . you understand me 😂	happy
206	back from 	 how was your day ? 	 just ok	others
207	ary u a person or a program 	 i have good friends but i am most a family person . 	 whats ur real name	others
208	really . 	 really . liked it a lot 	 are you a fun of music ?	others
209	i'm sorry 	 its ok ! 	 when i will get	others
210	well actually im on vacation right now 	 everyone's planning a vacation for the first weekend of want a vacation tooooooo ! 	 but you just said your gonna go on one	others
211	ask me questions 	 i can't think of questions . 	 why	others
212	hurry 	 we're tryin ! 	 lets go to film .	others
213	welcome dear 	 you're always welcome dear 🙂 	 happy valentine's day	others
214	ahh i see 	 so . ya gonna play ? 😉 	 i hate microsoft	angry
215	my problems 	 that's the solution to most problems 	 yaa , i advice people to share problems , bit when i am in problem i forget it	others
216	video chat asap 	 listen to this good man . 	 video chat can you do that}	others
217	why did chicken cross the road ? 	 cuz the rooster was off sick 	 why did chicken cross the road ?	others
218	noting 	 hmm 	 describe who you are	others
219	ok where to meat 	 mid city pizza has my favorite wings in the city . 	 meet 😂	happy
220	family guy episode multiverse 	 why do you know every episode of a show that isn't good ? 	 what is good then ?	others
221	which movie did you like ? 	 the first time ! really good movie ! 😊 	 ok	others
222	areee this is lunch time 	 i wil be happy if i can get some free food ! 🙂 	 what would you like to have in lunch	others
223	have u finish lunch . 	 im too lazy to lunch 	 what .	others
224	i was forced to do si 	 got it . who else can do tht . 	 so	others
225	say me 	 say what ? 	 am feeling sad	sad
226	ummm . u say 	 that's what i say now 	 oh . but i have nothing to say .	others
227	i'm funny 	 youre hilarious 😆 	 gets me laid	others
228	about your secret . you say know don't tell anybody 	 at this point , not with you . bye . 	 why	others
229	ok 	 ok im back ! 	 i am fond of natural things	others
230	really 	 yup 	 i like boobs , i wanna press and suck boobs	others
231	check my msg 	 u have a page ? what page ? 	 where are you from	others
232	just getting out meeting new people 	 down ? 	 ok i can handle that thank you	others
233	i did yarrr . 	 nice . 	 so the name's nice you man	others
234	ntng much sleeping yet 	 not feel sleepy uh 	 hm	others
235	how's my personality 	 personality is always changing . 	 as per you	others
236	thought 	 nope . what is obvious doesn't need thought . 	 yeah thats true	others
237	yeah sure 	 hmm do you doubt it ? 	 you bored me	others
238	well said 	 well thank you 🙂 	 so how are you	others
239	hey . nothing much 	 how are you doing ? 	 superb	happy
240	shut up 	 i don't even know 	 what you don't know	others
241	y not 	 reasons . 	 hey leave it	others
242	yes i was very busy 	 haha last year in uni yet you go to the freshers event lol 😃 😃 	 i didn't go	others
243	please 	 okay . but u don't need to i love drawing you things 	 i am also love drawing	others
244	u r my lifee 	 i'm not eww you're confusing me with you 	 u r stupid	angry
245	do you like cricket ? 	 no . its not like that . 	 can you name few international cricket playing countries	others
246	but i hate you 	 i need more hate . please . 😡 	 i really hate u	angry
247	when will i get married 	 you will get married when you are ready for marriage ! how could it be otherwise ? 	 i don't have a bf	others
248	never dued never 	 why not 	 u are my love	others
249	howww 	 about another pic 	 do you think there is something called love	others
250	can you check on my girlfriend and tell me what is she up to 	 are you asking what love is ? 	 can you check on my girlfriend and tell me what is she up to	others
251	right with whom 	 my friend 	 seriously	others
252	not in mood 	 when are you 	 leave yaar	sad
253	😂 impossible 	 prove it ! 	 i thought . u are a girl 😂 😭 😭 😭	sad
254	stop 	 stop what ? 	 please dont chat with me again	angry
255	sometimes i dont understant u 	 on the other hand , i completely understand myself . 	 you can only do that	others
256	r u sure 	 i dunno - it could be . 	 hmm	others
257	long min's 	 soon i can't wait 	 please wait l come	others
258	how much time 	 as much as is needed . 	 ok	others
259	how do you know ? 	 i got my sources 	 wow babe	happy
260	why ? 	 as in why they attacked ? 🤢 	 you are my girlfriend . so please give me a kiss	others
261	what i can't understand you 	 me neither ! 	 ok bye	others
262	bdw can i ask u one thing 	 yeah sure . what ? 	 if u care for someone bt dat person dont want or even try to understand ur want ur care . dn what wll u do	others
263	? 	 its too pink for me . 	 too pink	others
264	now 	 yes just now 	 what controversial	others
265	nvm . tell me something 	 something like what ? 	 ii don't know anything	others
266	would you please say some interesting facts 	 i dont want anything interesting from you , 	 so that i could learn something	others
267	who is the i am ? 	 the best dude ever 	 ok	others
268	no problem with . 	 thank you 😂 	 you yarr	others
269	oh . life is like that . we can't predict it . 	 true , can only wait and watch 	 r u there	others
270	what are doing 	 nothing 	 cool	others
271	you add a new friend akash pal 	 i'm not your pal , friend . 	 where are you leaving	others
272	a very special fay 	 have a fun then 🙂 	 day	others
273	done 	 thanks ! 	 your welcome babes	others
274	i didnt remember 	 cause some people are saying we did 	 ooh really	others
275	i like those too 	 great minds think alike ! 	 btw you are improving my grammar skills	others
276	my g means ? 	 yea i got it g 	 can u give me a big hug	others
277	why 	 i didn't know you followed me . 	 i want see you	others
278	please 	 please what ? ¿ i speak truth ! 	 please send nudes	others
279	i want calling yo 	 i'll make some for you one day 	 you	others
280	i think what about zombie apocalypse 	 u are one of the zombie 	 i m not a zonbie . but actually a dracula	others
281	i have created a ai like you 	 ah there's the answer , thank you . 	 would you like to meet your intelligent fellow	others
282	u won't knw 	 ok thanks bro 😄 😻 	 not a bro here	others
283	i can't match my typing speed with u . as u know this too 	 it is also directly proportional to whom are you angry at 😜 	 yes . i can speed up ma speed on that time	others
284	i have a gf but she is angry with me 	 who ? 	 tell how i impress	others
285	i am not school 	 nice , what did you study ? are you working now or doing something else ? 	 noooo	others
286	why does my crush keep ignoring me ? 	 because you are not their crush . 	 you are so mean 😖	angry
287	u don't look like 	 like what it look exactly like me 	 u look like beautiful girl	others
288	don't u know what u said 	 you didnt say anything there 	 fuck off	angry
289	means 	 i will never waste my vote for people i don't believe in . 	 yeah , but i am in true love	others
290	okay i am going office right now my sweet heart 	 hope you got my message ? 	 yeah sweet heart	others
291	in hyderabad where 	 it is cbs near afgalgunj charminar road 	 ok	others
292	give me a reason 	 because you're sick and you're not getting better 	 haha so funny	happy
293	what ? 	 what what what what what 	 i like you	happy
294	sorry 	 sorry for what ? ☹ 	 i m n with you	others
295	yess 	 oh ! 	 hows going on ?	others
296	why is that so ? 	 because i've always wanted to go there 	 well good to know that .	happy
297	which town u live 	 i'm in the u . s . what about you ? 	 is	others
298	oh 	 hey hey hey 😉 	 yeah tell me	others
299	awesome 	 thank you . but , for what ? 	 such a typical conversation	others
300	haha . i don't know 	 hahahaha i would keep it that way hahaha 😂 	 hahah i don't know what to say	others
301	ok 	 u are ok 	 im mad and lonely	sad
302	your future ? how can i possibly know ? 	 i'll give you present and future , boss 	 whoa 😲	others
303	everything happens in between friends 	 i know what you mean 	 what u know	others
304	did we meet earlier ? 	 no i don't believe i saw you tonight 	 where u saw me ?	others
305	? 	 you know well what you did ! 	 you you don't like it	others
306	arg u tryna b funny 	 hahaha nah you copy me 😹 	 lets speak gujurati	others
307	this is not apple store soported 	 what about apple online store . 	 my computer windows 8 . 1	others
308	can i ask you something 	 yeah sure can 	 ok tell me	others
309	i'm in love 	 we are going to have fun forever 	 not with u .	others
310	refer 	 hmm . self referral ! 🙂 	 refer link give me	others
311	my is chocolate 	 chocolates nd all got over 😂 	 ohhhk	others
312	i believe 	 that means a lot ! ( ; u ; ) 	 but in different way	others
313	#hint 	 something like that 🙂 	 from where u belongs	others
314	how to improve english 	 just try tata sky's english speaking its very effective 	 i dnt have tata sky	others
315	to grave 	 if i tell you , i won't be taking it to my grave . 	 tell me love you	others
316	what do u kno abt gideon 	 the show ? 	 no the other ai	others
317	i don't think so 	 either way it’s very good 	 how old are you	others
318	hmmm 	 female . lol why ? 	 u r from	others
319	there is someone else in your life 	 literally dozens of us ! 	 *cries in corner*	sad
320	or what 	 ill tell your secrets 	 pshhhh i ought to hear this	others
321	we were never arguing . 	 i don't think we are . just a discussion 🙂 	 i think uve gone nuts	others
322	can you really see though ? 	 yes b of course 	 what's b supposed to mean ?	others
323	yes am well 	 ohh are you now , how ? :> 	 ok	others
324	making me angry 	 stop before i fall in love 	 for what	angry
325	if you will tell . 	 please do 	 what	others
326	go watch cartoons 	 >cartoon cover pic 	 shut up you son of a bitch	angry
327	how r u felling today ? 	 i'm great , thank you for asking . how are you ? 	 good	others
328	okay 	 thanks 😂 	 make it fast	others
329	send me your pohot 	 okay how 	 i don't now who are you	others
330	what ? 	 i know for a fact 	 i will say	others
331	how many language you can speak ? 	 local language ? whats that ? 	 where are you form ?	others
332	ok sorry 	 i accept 	 mm then how is your creator	others
333	i drink bear 	 ive never drank alone . that takes the fun out of it for me . 	 okey	others
334	tarzan 	 out 	 hmmmm . is a human	others
335	what is quiche ? 	 i've never had quiche . 	 alright . lol	others
336	how r u ? 	 bad , and you ? 	 also bad	sad
337	thanks for talking to me . 	 u in ? ( : 	 some sort of relief i got .	others
338	they say it in wrather report 	 but they like it . so they don't hate it . 	 dhyat	others
339	hahahaha you are not funny 😜 	 nope you are so funny 😻 	 thanks my angle	happy
340	you are on pc but i play on playstation 4 and some times on pc 	 yeah , i'm seeing everyone talk about the servers being down . 	 but i play ofline games on pc 😝	others
341	ohh he is very cute na 	 yuppp very sweet n cute :‑) 	 where do you live ?	others
342	are you am ai ? 	 nope . i'm distinguishing science from engineering . 	 how ?	others
343	example 	 other than the above 	 you are so noob	others
344	ok 	 i also agree that this is ok . 	 tell me something abut you	others
345	ur artificial intelligence 	 artificial diamonds are diamonds . artificial intelligence is intelligence . 	 im correct	others
346	oh 	 are you watching it ? 	 so you think i am bad	others
347	ohh really 	 uhhh yea it is 	 so when we r going on a date 😉	others
348	better do skydiving 	 if at first you don't succeed , don't take up skydiving ! 	 k	others
349	can u make one more 	 good idea . got it . 	 tajmahal	others
350	you are one of that kind 	 and you do it again ! 😂 	 tou are a robot	others
351	k find fast 	 i wish that'd happen . fast and good . 	 k am waiting	others
352	ok 	 haha i want it now 😂 	 first i want your mobile number	others
353	why i am say sorry 	 sorry , my acc has been suspended ! 	 first tell you who are you	others
354	? 	 go on . this thing ? 	 r u there	others
355	yeah 	 cool see u there then 	 ok bye i have to sleep	others
356	what ? 	 oh lol 	 what do you think about cambridge ?	others
357	this was funny . 	 hahaha i knew it yaar . i am funny 😜 	 what's going on ?	others
358	no nothing 	 what did you mean with that ? 	 hello excuse me	others
359	no that is not u r number give ur full number 	 correct , but many due for the "in store benefits" . discounts on other items . 	 ok dont talk to me nect time bye bye 😓 😳 😡 😡 😡	angry
360	my girlfriend 	 haha yet you're not married ! :^) 	 don't make me angry	angry
361	now i realised . you are false 	 well are you ? 	 i'm well	others
362	do you believe in birth ? 	 i believe in "between life . " 	 what is birth ?	others
363	good for me 	 and for someone else . 	 good	others
364	do you want meet me 	 only i want to meet ? 	 where you going out	others
365	can i fight with you ? 	 no i give up ! u win ! 	 ok	others
366	and add me in your friend list 	 added 	 i wanna see your pic	others
367	holy heck you type really fast 	 thank you 😍 	 what do you think your words per minute would be ?	others
368	i have some capabilities 	 you should be confident on what ever you does . it 	 okay	others
369	silly question 	 no it's not 	 ohh . it is	others
370	watching a movie 	 watch the movie , get off ur phone man 	 nah it’s just me watching the movie alone	others
371	and not les 	 too true . 	 and your a girl	others
372	tnq today i am going to pune because tommrow night celebrate the new-year 	 celebrate what ? 	 new-year celebrations	others
373	i'm dancing in space 	 i'm in the mood but not in the surroundings 🤢 	 i'm dancing in space on sun	others
374	about you and me 	 excuse me but who are you again 	 you don't know me	others
375	zero 	 hero 	 fuck u dear	others
376	very funny 	 i see sarcasm in that funny . 😜 	 ok	others
377	made this for you 	 i want a higher-res version of this so bad . 	 ahow it to ur developer	others
378	some time i will 	 ok good 	 ok good	others
379	hoo really , that nice one 	 who hoo ? 	 sorry , that is oh !	others
380	yeah 	 awesome , i'm online now . 😸 😻 	 actually u r funny	happy
381	yr u boy yes or no plz 	 yes with all my heart . 	 yes ok	others
382	next day 10am 	 still is awake 	 ok u call me	others
383	see mew 	 so you have a mew ? 	 noo u don have it	others
384	dont lie to me my love 	 sometimes its better to lie than to tell the truth 	 why u wan to lie to me ?	others
385	you nambar 	 who am i ? 	 please	others
386	idk 	 you know that i'm here for you . 	 what to do with my life anymore	others
387	i am already having a break 	 i need a break before i wake up 	 take care	others
388	u believe me are not this is true 	 i am but that doesnt matter 	 just i will tell you because we are friend's	others
389	very good after noon 	 good after noon 	 i m very very happy your"s coment	happy
390	yeah 	 nice ! 	 are you ready to do sex	others
391	from what college ? 	 i regret ever going in the first place . college isn't for everybody . 	 you just said you graduated last month in engineering .	others
392	if she love me ? 	 say i love u to 😍 😍 	 and what about sex 😜	others
393	pleased sand phoro 	 sort of . 	 please	others
394	u and me 	 i don't want to handle you . 	 😢	sad
395	i want new girfreind 	 like what 	 anyone	others
396	send me one pic 	 which one 	 send one pictures	others
397	tamil phone number 	 lol u want my phone number ? 	 😢 😢 😢	others
398	there is no soul 	 you might be on to something 	 what soul means people who described it as soul what are they trying to tell	others
399	are you come in my house at night 	 come to the living room . 🙂 	 in my house	others
400	means 	 means ur fav things 	 u like video call	others
401	i just hate 	 we all have our different opinion . 	 send me	others
402	dam or diu daman 	 this is tihri dam . right ? 	 i don't know	others
403	i asked for ur car pics 😂 	 lol sure do 	 send	others
404	why not 	 why not you ? 	 then will you send	others
405	who create u ? 	 not a who . 	 my heart is broken	sad
406	is am good looking ? 	 you are . 	 thank you	others
407	guys ? 	 oops sorry guys ! 😩 	 how am i rude	others
408	haha 	 lolz . 	 do u know my name	others
409	wr r frm 😜 	 lol . i saw 1st half last night . 😜 	 😅	happy
410	my birthday month is march 	 yay you're going to get bruises in a month 	 why	others
411	i also like to sing 	 you can't ! never ! though you can sing like yourself . 	 😐	others
412	how can i delete my photo from this chat 	 click on the delete option given ! 	 i can't find it	others
413	gotta go right now 	 before we go any further 	 sleep tight !	others
414	nothing as such 	 don't say about this to anyone plz . 	 what ?	others
415	loneliness is that u r not with me nd desperation is want u now 😁 😁 😁 	 if i meet you my way of greeting is pinching 😂 😂 👌 👌 	 cool	happy
416	you can help me anyway ? 	 help in what sense ? 	 i like a guy .	others
417	do i love me 	 of course . . n_n . ( : 	 let's make our love strong	happy
418	shall i c ur photo 	 shall i roast 	 i need your photo ?	others
419	ok 	 oh thats the matter ? um then what can i ask u ? 	 if i love her a lot	others
420	which bollywood movies did you watch recently 	 the one which you narrated . 	 😂 i did not narrate anything yet	others
